Sr. No.,Market Name,Fruit/Crop,Fruit/Crop Variety,Date/Time,Price (per quintal)
,F & V Market Parimpora Srinagar,Cherry,cherry-medium,2024-05-26,10000.0
,F & V Market Ganderbal,Cherry,cherry-large,2024-05-26,17500.0
,F & V Market Parimpora Srinagar,Cherry,cherry-medium,2024-05-24,10000.0
,F & V Market Ganderbal,Cherry,cherry-large,2024-05-24,19000.0
,F&V Mandi Narwal,Cherry,cherry-medium,2024-05-24,17000.0
,F & V Market Ganderbal,Cherry,other-large,2024-05-24,12500.0
,F & V Market Parimpora Srinagar,Cherry,cherry-large,2024-05-24,24000.0
,F&V Mandi Narwal,Cherry,cherry-medium,2024-05-23,17000.0
,F & V Market Parimpora Srinagar,Cherry,cherry-large,2024-05-23,9500.0
,Delhi Mandi,Cherry,cherry-large,2024-05-23,31500.0
,F & V Market Parimpora Srinagar,Cherry,other-large,2024-05-23,23500.0
,Delhi Mandi,Cherry,cherry-large,2024-05-22,31500.0
,Delhi Mandi,Cherry,cherry-large,2024-05-21,31500.0
,F&V Mandi Narwal,Cherry,cherry-medium,2024-05-21,16000.0
,F&V Mandi Narwal,Cherry,cherry-medium,2024-05-20,16000.0
,Delhi Mandi,Cherry,cherry-large,2024-05-20,35000.0
,Delhi Mandi,Cherry,cherry-large,2024-05-17,35000.0
,Delhi Mandi,Cherry,cherry-large,2024-05-16,35000.0
,Delhi Mandi,Cherry,cherry-large,2024-05-15,37500.0
,Delhi Mandi,Cherry,cherry-large,2024-05-14,37500.0
,Delhi Mandi,Cherry,cherry-large,2024-05-13,37500.0
,Delhi Mandi,Cherry,cherry-large,2024-05-10,37500.0
,Delhi Mandi,Cherry,cherry-large,2024-05-09,37500.0
,Delhi Mandi,Cherry,cherry-large,2024-05-08,39000.0
,Delhi Mandi,Cherry,cherry-large,2024-05-07,38000.0
,F&V Mandi Narwal,Cherry,cherry-medium,2023-07-23,15000.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-07-21,12000.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-07-20,13000.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-07-19,16000.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-07-19,8000.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-07-18,18000.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-07-18,10000.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-07-17,10000.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-07-17,18000.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-07-16,20000.0
